"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf","block"
1,"dotcolour","average","easy",1.77,-1,0,1,0.328,6
1,"dotcolour","average","easy",1.036,-1,1,6,0.572,6
1,"dotcolour","average","easy",0.935,1,1,6,0.265,6
1,"dotcolour","average","average",1.353,-1,1,5,0.259,6
1,"dotcolour","average","hard",4.589,1,0,4,0.248,6
1,"dotcolour","average","easy",0.686,-1,1,5,1.421,6
1,"dotcolour","average","average",0.902,1,1,5,0.281,6
1,"dotcolour","average","hard",1.62,1,1,4,0.294,6
1,"dotcolour","average","easy",0.735,-1,1,5,0.952,6
1,"dotcolour","average","hard",1.269,1,1,2,0.744,6
1,"dotcolour","average","average",2.637,-1,1,4,2.49,6
1,"dotcolour","average","average",1.036,1,1,5,0.229,6
1,"dotcolour","average","easy",0.918,1,1,5,0.497,6
1,"dotcolour","average","average",3.372,1,1,1,0.27,6
1,"dotcolour","average","average",1.97,1,0,2,0.302,6
1,"dotcolour","average","easy",0.985,1,1,5,0.549,6
1,"dotcolour","average","average",1.186,1,1,5,0.473,6
1,"dotcolour","average","average",1.118,1,0,4,0.291,6
1,"dotcolour","average","easy",0.669,1,1,6,0.264,6
1,"dotcolour","average","average",1.753,1,1,4,0.289,6
1,"dotcolour","average","average",2.137,1,1,4,0.328,6
1,"dotcolour","average","average",1.302,1,1,5,0.225,6
1,"dotcolour","average","average",1.453,-1,1,5,0.28,6
1,"dotcolour","average","easy",1.019,1,1,5,0.254,6
1,"dotcolour","average","average",1.335,-1,1,5,0.265,6
1,"dotcolour","average","hard",1.252,1,0,2,0.438,6
1,"dotcolour","average","easy",1.27,-1,1,6,0.299,6
1,"dotcolour","average","hard",1.169,1,1,5,0.554,6
1,"dotcolour","average","average",1.469,1,1,5,0.195,6
1,"dotcolour","average","average",0.802,1,1,5,0.262,6
1,"dotcolour","average","hard",0.901,-1,0,5,1.154,6
1,"dotcolour","average","easy",0.718,1,1,6,0.289,6
1,"dotcolour","average","easy",1.118,-1,1,5,0.851,6
1,"dotcolour","average","average",0.818,-1,1,5,0.282,6
1,"dotcolour","average","hard",1.352,-1,1,4,0.258,6
1,"dotcolour","average","hard",1.336,1,1,4,0.252,6
1,"dotcolour","average","hard",1.336,-1,1,4,0.247,6
1,"dotcolour","average","easy",1.086,-1,1,5,0.805,7
1,"dotcolour","average","average",2.771,-1,1,1,0.718,7
1,"dotcolour","average","average",1.069,1,0,2,0.272,7
1,"dotcolour","average","average",0.986,1,1,4,0.264,7
1,"dotcolour","average","easy",0.719,1,1,6,0.283,7
1,"dotcolour","average","average",1.953,-1,0,4,0.267,7
1,"dotcolour","average","average",2.27,1,1,4,0.222,7
1,"dotcolour","average","easy",0.735,1,1,5,0.563,7
1,"dotcolour","average","easy",0.602,-1,1,6,0.415,7
1,"dotcolour","average","average",1.769,-1,1,5,0.289,7
1,"dotcolour","average","easy",0.902,-1,1,6,0.3,7
1,"dotcolour","average","hard",2.904,1,0,3,1.908,7
1,"dotcolour","average","average",0.835,1,1,5,0.255,7
1,"dotcolour","average","hard",1.586,-1,0,4,0.319,7
1,"dotcolour","average","hard",4.472,-1,0,3,0.934,7
1,"dotcolour","average","hard",1.101,1,1,4,0.238,7
1,"dotcolour","average","easy",0.735,1,1,5,0.226,7
1,"dotcolour","average","easy",0.919,-1,1,6,0.175,7
1,"dotcolour","average","average",1.236,1,1,5,0.192,7
1,"dotcolour","average","easy",0.835,-1,1,5,0.226,7
1,"dotcolour","average","easy",1.201,1,1,5,1.171,7
1,"dotcolour","average","easy",0.702,1,1,5,0.258,7
1,"dotcolour","average","easy",1.12,1,1,5,0.581,7
1,"dotcolour","average","average",0.951,-1,1,5,0.29,7
1,"dotcolour","average","average",2.053,1,0,4,0.269,7
1,"dotcolour","average","hard",1.236,-1,1,4,0.411,7
1,"dotcolour","average","easy",1.219,-1,1,4,0.228,7
1,"dotcolour","average","hard",1.386,1,1,4,0.238,7
1,"dotcolour","average","average",1.202,1,1,3,1.006,7
1,"dotcolour","average","hard",1.403,1,1,4,0.599,7
1,"dotcolour","average","hard",2.42,-1,1,4,0.439,7
1,"dotcolour","average","easy",0.803,1,1,5,0.24,7
1,"dotcolour","average","easy",0.752,-1,1,5,0.243,7
1,"dotcolour","average","average",2.137,1,0,4,0.333,7
1,"dotcolour","average","hard",1.351,1,0,4,0.243,7
1,"dotcolour","average","easy",0.851,1,1,5,0.242,7
1,"dotcolour","average","easy",0.868,1,1,6,0.832,7
