starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569052,xotask,0,0,training,hard,hard,44,4572,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,1,0,training,hard,hard,33,1886,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,2,0,training,hard,hard,43,1904,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,3,0,training,hard,hard,46,2871,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,4,0,training,hard,hard,46,1453,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,5,0,training,hard,hard,42,1852,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,6,0,training,hard,hard,37,1418,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,7,0,training,hard,hard,36,1469,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,8,0,training,hard,hard,43,3104,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,9,0,training,hard,hard,35,1269,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,10,0,training,hard,hard,42,1303,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,11,0,training,hard,hard,33,1903,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,12,0,training,hard,hard,43,1420,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,13,0,training,hard,hard,45,1886,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,14,0,training,hard,hard,33,1235,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,15,0,training,hard,hard,35,1085,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,16,0,training,hard,hard,46,2302,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,17,0,training,hard,hard,43,1369,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,18,0,training,hard,hard,35,986,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,19,0,training,hard,hard,35,1152,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,20,0,training,hard,hard,44,1035,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,21,0,training,hard,hard,36,1252,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,22,0,training,hard,hard,34,1119,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,23,0,training,hard,hard,34,902,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,0,1,training,hard,hard,46,2304,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,1,1,training,hard,hard,33,1652,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,2,1,training,hard,hard,33,1636,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,3,1,training,hard,hard,36,1953,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,4,1,training,hard,hard,37,852,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,5,1,training,hard,hard,34,1768,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,6,1,training,hard,hard,42,1686,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,7,1,training,hard,hard,43,886,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,8,1,training,hard,hard,43,1536,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,9,1,training,hard,hard,36,1386,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,10,1,training,hard,hard,35,2370,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,11,1,training,hard,hard,33,1919,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,12,1,training,hard,hard,42,1018,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,13,1,training,hard,hard,42,2653,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,14,1,training,hard,hard,43,1586,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,15,1,training,hard,hard,43,1236,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,16,1,training,hard,hard,33,1436,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,17,1,training,hard,hard,36,1069,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,18,1,training,hard,hard,44,1636,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,19,1,training,hard,hard,36,1018,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,20,1,training,hard,hard,43,1502,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,21,1,training,hard,hard,43,1853,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,22,1,training,hard,hard,33,1453,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,23,1,training,hard,hard,43,1703,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,0,2,training,hard,hard,33,2304,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,1,2,training,hard,hard,42,2652,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,2,2,training,hard,hard,44,1203,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,3,2,training,hard,hard,45,1519,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,4,2,training,hard,hard,33,2202,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,5,2,training,hard,hard,42,1135,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,6,2,training,hard,hard,42,2219,['n'],0,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,7,2,training,hard,hard,42,2137,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,8,2,training,hard,hard,46,1753,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,9,2,training,hard,hard,33,918,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,10,2,training,hard,hard,46,2170,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,11,2,training,hard,hard,33,2002,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,12,2,training,hard,hard,37,1403,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,13,2,training,hard,hard,36,1136,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,14,2,training,hard,hard,34,852,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,15,2,training,hard,hard,34,1118,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,16,2,training,hard,hard,37,1586,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,17,2,training,hard,hard,45,752,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,18,2,training,hard,hard,42,601,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,19,2,training,hard,hard,37,702,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,20,2,training,hard,hard,33,2036,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,21,2,training,hard,hard,45,1068,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,22,2,training,hard,hard,36,1119,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,23,2,training,hard,hard,46,851,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,0,3,training,hard,hard,34,2470,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,1,3,training,hard,hard,45,1436,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,2,3,training,hard,hard,36,1937,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,3,3,training,hard,hard,36,2037,['c'],0,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,4,3,training,hard,hard,34,1419,['n'],1,right,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
,xotask,5,3,training,hard,hard,46,1202,['c'],1,left,none,-99,-99,,,,,,,,,3,19,Vrouw,Rechts,
