starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
,xotask,2,2,training,hard,hard,37,1020,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,2,training,hard,hard,44,951,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,2,training,hard,hard,45,1118,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,2,training,hard,hard,35,901,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,2,training,hard,hard,44,1569,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,2,training,hard,hard,43,785,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,2,training,hard,hard,35,801,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,2,training,hard,hard,35,718,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,2,training,hard,hard,37,1553,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,2,training,hard,hard,34,801,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,2,training,hard,hard,46,1136,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,2,training,hard,hard,34,751,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,2,training,hard,hard,33,768,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,2,training,hard,hard,43,651,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,2,training,hard,hard,46,635,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
