starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569006,xotask,0,0,training,average,average,24,4205,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,1,0,training,average,average,56,3621,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,2,0,training,average,average,25,2953,['c'],0,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,3,0,training,average,average,22,1786,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,4,0,training,average,average,22,1285,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,5,0,training,average,average,22,1720,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,6,0,training,average,average,55,1952,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,7,0,training,average,average,24,2086,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,8,0,training,average,average,24,4222,['c'],0,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,9,0,training,average,average,57,1220,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,10,0,training,average,average,54,1268,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,11,0,training,average,average,55,2404,['n'],0,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,12,0,training,average,average,53,1636,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,13,0,training,average,average,56,1852,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,14,0,training,average,average,25,1602,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,15,0,training,average,average,26,1853,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,16,0,training,average,average,53,1151,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,17,0,training,average,average,53,1403,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,18,0,training,average,average,54,1687,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,19,0,training,average,average,26,1919,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,20,0,training,average,average,26,1302,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,21,0,training,average,average,56,1503,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,22,0,training,average,average,54,1152,['c'],1,left,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,23,0,training,average,average,22,1853,['c'],0,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
,xotask,0,1,training,average,average,25,1953,['n'],1,right,none,-99,-99,,,,,,,,,6,18,Vrouw,Rechts,
