starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576204,dotnumber,0,0,training,average,average,37,50,2504,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,1,0,training,average,average,50,63,1553,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,2,0,training,average,average,62,50,1035,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,3,0,training,average,average,63,50,1202,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,4,0,training,average,average,50,38,1753,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,5,0,training,average,average,50,36,2370,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,6,0,training,average,average,50,35,1153,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,7,0,training,average,average,65,50,852,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,8,0,training,average,average,37,50,885,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,9,0,training,average,average,37,50,1553,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,10,0,training,average,average,64,50,2103,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,11,0,training,average,average,50,62,735,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,12,0,training,average,average,50,35,985,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,13,0,training,average,average,38,50,902,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,14,0,training,average,average,37,50,801,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,15,0,training,average,average,50,64,869,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,16,0,training,average,average,36,50,1152,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,17,0,training,average,average,50,63,1452,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,18,0,training,average,average,50,64,1369,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,19,0,training,average,average,50,36,902,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,20,0,training,average,average,50,65,1002,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,21,0,training,average,average,50,38,1152,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,22,0,training,average,average,65,50,1586,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,23,0,training,average,average,65,50,752,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,0,1,training,average,average,50,37,1704,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,1,1,training,average,average,35,50,1068,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,2,1,training,average,average,50,65,1318,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,3,1,training,average,average,35,50,1435,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,4,1,training,average,average,50,37,1437,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,5,1,training,average,average,38,50,2020,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,6,1,training,average,average,50,37,1035,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,7,1,training,average,average,65,50,1869,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,8,1,training,average,average,35,50,852,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,9,1,training,average,average,61,50,869,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,10,1,training,average,average,64,50,903,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,11,1,training,average,average,65,50,1135,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,12,1,training,average,average,50,36,684,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,13,1,training,average,average,50,64,1019,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,14,1,training,average,average,64,50,1186,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,15,1,training,average,average,50,35,803,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,16,1,training,average,average,37,50,752,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,17,1,training,average,average,50,63,1869,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,18,1,training,average,average,50,63,885,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,19,1,training,average,average,50,61,1235,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,20,1,training,average,average,50,35,1002,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,21,1,training,average,average,37,50,819,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,22,1,training,average,average,50,63,1152,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,23,1,training,average,average,63,50,968,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,0,2,training,average,average,50,36,835,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,1,2,training,average,average,39,50,886,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,2,2,training,average,average,50,61,1253,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,3,2,training,average,average,38,50,919,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,4,2,training,average,average,50,64,1302,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,5,2,training,average,average,50,36,1353,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,6,2,training,average,average,50,65,1135,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,7,2,training,average,average,50,35,1235,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,8,2,training,average,average,39,50,1086,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,9,2,training,average,average,38,50,835,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,10,2,training,average,average,50,65,986,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,11,2,training,average,average,64,50,1135,['n'],0,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,12,2,training,average,average,63,50,902,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,13,2,training,average,average,62,50,1119,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,14,2,training,average,average,50,64,1069,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,15,2,training,average,average,35,50,785,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,16,2,training,average,average,50,36,685,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,17,2,training,average,average,65,50,719,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,18,2,training,average,average,50,38,718,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,19,2,training,average,average,50,65,1202,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,20,2,training,average,average,64,50,635,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,21,2,training,average,average,50,36,718,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,22,2,training,average,average,37,50,784,['n'],1,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,23,2,training,average,average,62,50,1136,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,0,3,training,average,average,37,50,885,['c'],0,right,none,-99,-99,,,,,,,,23,18,Man,Rechts,
,dotnumber,1,3,training,average,average,62,50,685,['c'],1,left,none,-99,-99,,,,,,,,23,18,Man,Rechts,
