starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576182,xotask,0,0,training,hard,hard,45,1436,['n'],0,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,1,0,training,hard,hard,33,1335,['n'],1,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,2,0,training,hard,hard,45,784,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,3,0,training,hard,hard,45,1036,['n'],0,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,4,0,training,hard,hard,42,1019,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,5,0,training,hard,hard,44,835,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,6,0,training,hard,hard,33,819,['n'],1,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,7,0,training,hard,hard,36,852,['c'],0,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,8,0,training,hard,hard,33,853,['n'],1,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,9,0,training,hard,hard,35,769,['n'],1,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,10,0,training,hard,hard,43,819,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,11,0,training,hard,hard,35,1386,['n'],1,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,12,0,training,hard,hard,42,985,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,13,0,training,hard,hard,42,651,['c'],1,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,14,0,training,hard,hard,36,585,['c'],0,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,15,0,training,hard,hard,43,718,['n'],0,left,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
,xotask,16,0,training,hard,hard,37,518,['c'],0,right,none,-99,-99,,,,,,,,,30,18,Vrouw,Rechts,
