starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613568984,dotnumber,0,0,training,easy,easy,71,50,2120,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,1,0,training,easy,easy,50,25,936,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,2,0,training,easy,easy,50,73,1019,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,3,0,training,easy,easy,50,27,601,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,4,0,training,easy,easy,26,50,818,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,5,0,training,easy,easy,28,50,935,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,6,0,training,easy,easy,50,25,703,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,7,0,training,easy,easy,71,50,702,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,8,0,training,easy,easy,29,50,1453,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,9,0,training,easy,easy,50,75,1052,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,10,0,training,easy,easy,50,75,1152,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,11,0,training,easy,easy,28,50,753,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,12,0,training,easy,easy,50,26,785,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,13,0,training,easy,easy,50,71,835,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,14,0,training,easy,easy,71,50,617,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,15,0,training,easy,easy,75,50,702,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,16,0,training,easy,easy,27,50,752,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,17,0,training,easy,easy,50,73,869,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,18,0,training,easy,easy,72,50,702,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,19,0,training,easy,easy,29,50,901,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,20,0,training,easy,easy,50,26,1353,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,21,0,training,easy,easy,50,74,767,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,22,0,training,easy,easy,50,28,718,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,23,0,training,easy,easy,74,50,902,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,0,1,training,easy,easy,50,72,1220,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,1,1,training,easy,easy,25,50,984,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,2,1,training,easy,easy,50,75,868,['n'],1,right,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
,dotnumber,3,1,training,easy,easy,50,27,719,['c'],1,left,none,-99,-99,,,,,,,,8,19,Vrouw,Links,
