starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569110,dotcolour,0,0,training,average,average,34,2638,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,1,0,training,average,average,30,868,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,2,0,training,average,average,32,1053,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,3,0,training,average,average,31,801,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,4,0,training,average,average,34,1586,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,5,0,training,average,average,50,619,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,6,0,training,average,average,47,669,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,7,0,training,average,average,46,650,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,8,0,training,average,average,30,719,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,9,0,training,average,average,49,635,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,10,0,training,average,average,46,736,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,11,0,training,average,average,33,603,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,12,0,training,average,average,49,469,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,13,0,training,average,average,33,452,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,14,0,training,average,average,30,318,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,15,0,training,average,average,47,668,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,16,0,training,average,average,49,484,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,17,0,training,average,average,32,385,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,18,0,training,average,average,47,735,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,19,0,training,average,average,33,1002,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,20,0,training,average,average,50,635,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,21,0,training,average,average,46,451,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,22,0,training,average,average,33,618,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,23,0,training,average,average,46,536,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,0,1,training,average,average,32,1235,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,1,1,training,average,average,32,969,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,2,1,training,average,average,32,584,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,3,1,training,average,average,34,552,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,4,1,training,average,average,47,669,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,5,1,training,average,average,46,519,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,6,1,training,average,average,34,567,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,7,1,training,average,average,49,518,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,8,1,training,average,average,49,985,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,9,1,training,average,average,34,684,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,10,1,training,average,average,49,702,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,11,1,training,average,average,48,485,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,12,1,training,average,average,50,935,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,13,1,training,average,average,32,635,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,14,1,training,average,average,49,451,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,15,1,training,average,average,46,769,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,16,1,training,average,average,48,701,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,17,1,training,average,average,30,569,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,18,1,training,average,average,30,685,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,19,1,training,average,average,31,819,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,20,1,training,average,average,49,569,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,21,1,training,average,average,33,769,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,22,1,training,average,average,48,552,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,23,1,training,average,average,31,602,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,0,2,training,average,average,30,819,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,1,2,training,average,average,32,502,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,2,2,training,average,average,47,652,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,3,2,training,average,average,32,434,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,4,2,training,average,average,31,918,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,5,2,training,average,average,46,585,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,6,2,training,average,average,49,501,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,7,2,training,average,average,31,485,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,8,2,training,average,average,46,651,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,9,2,training,average,average,50,668,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,10,2,training,average,average,30,401,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,11,2,training,average,average,46,852,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,12,2,training,average,average,50,535,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,13,2,training,average,average,47,368,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,14,2,training,average,average,48,435,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,15,2,training,average,average,30,535,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,16,2,training,average,average,31,584,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,17,2,training,average,average,32,569,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,18,2,training,average,average,46,401,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,19,2,training,average,average,34,385,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,20,2,training,average,average,49,769,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,21,2,training,average,average,48,585,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,22,2,training,average,average,31,551,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,23,2,training,average,average,31,769,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,0,3,training,average,average,50,2353,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,1,3,training,average,average,31,718,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,2,3,training,average,average,49,601,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,3,3,training,average,average,47,801,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,4,3,training,average,average,47,1069,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,5,3,training,average,average,47,850,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,6,3,training,average,average,46,718,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,7,3,training,average,average,49,1853,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,8,3,training,average,average,30,1736,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,9,3,training,average,average,30,402,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,10,3,training,average,average,31,836,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,11,3,training,average,average,31,502,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,12,3,training,average,average,31,651,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,13,3,training,average,average,31,1769,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,14,3,training,average,average,30,819,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,15,3,training,average,average,50,601,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,16,3,training,average,average,48,636,['n'],0,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,17,3,training,average,average,30,885,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,18,3,training,average,average,49,601,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,19,3,training,average,average,30,652,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,20,3,training,average,average,34,601,['c'],0,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,21,3,training,average,average,48,619,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,22,3,training,average,average,33,652,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,23,3,training,average,average,47,418,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,0,4,training,average,average,33,1536,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,1,4,training,average,average,47,601,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,2,4,training,average,average,50,551,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,3,4,training,average,average,32,518,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,4,4,training,average,average,50,519,['c'],1,left,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,5,4,training,average,average,34,1602,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,6,4,training,average,average,33,752,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,7,4,training,average,average,34,685,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,8,4,training,average,average,30,719,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
,dotcolour,9,4,training,average,average,30,535,['n'],1,right,none,-99,-99,,,,,,,,,10,0,Vrouw,Rechts,
