starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614094441,xotask,0,0,training,easy,easy,5,4906,['c'],0,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,1,0,training,easy,easy,9,2003,['c'],0,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,2,0,training,easy,easy,5,968,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,3,0,training,easy,easy,72,702,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,4,0,training,easy,easy,8,901,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,5,0,training,easy,easy,71,2937,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,6,0,training,easy,easy,6,785,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,7,0,training,easy,easy,73,802,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,8,0,training,easy,easy,9,1152,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,9,0,training,easy,easy,73,969,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,10,0,training,easy,easy,5,751,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,11,0,training,easy,easy,8,1570,['c'],0,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,12,0,training,easy,easy,70,986,['n'],0,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,13,0,training,easy,easy,72,719,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,14,0,training,easy,easy,8,935,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,15,0,training,easy,easy,73,668,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,16,0,training,easy,easy,70,734,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,17,0,training,easy,easy,7,868,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,18,0,training,easy,easy,71,903,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,19,0,training,easy,easy,7,1186,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,20,0,training,easy,easy,6,735,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,21,0,training,easy,easy,72,636,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,22,0,training,easy,easy,74,584,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,23,0,training,easy,easy,71,651,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,0,1,training,easy,easy,70,753,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,1,1,training,easy,easy,70,719,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,2,1,training,easy,easy,9,818,['c'],0,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,3,1,training,easy,easy,74,635,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,4,1,training,easy,easy,71,618,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,5,1,training,easy,easy,73,668,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,6,1,training,easy,easy,70,652,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,7,1,training,easy,easy,6,635,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,8,1,training,easy,easy,71,669,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,9,1,training,easy,easy,5,852,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,10,1,training,easy,easy,7,636,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,11,1,training,easy,easy,6,651,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,12,1,training,easy,easy,73,719,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,13,1,training,easy,easy,8,685,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,14,1,training,easy,easy,72,635,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,15,1,training,easy,easy,7,602,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,16,1,training,easy,easy,5,635,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,17,1,training,easy,easy,7,836,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,18,1,training,easy,easy,7,785,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,19,1,training,easy,easy,72,518,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,20,1,training,easy,easy,71,486,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,21,1,training,easy,easy,72,435,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,22,1,training,easy,easy,9,618,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,23,1,training,easy,easy,8,652,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,0,2,training,easy,easy,71,619,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,1,2,training,easy,easy,9,735,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,2,2,training,easy,easy,6,1101,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,3,2,training,easy,easy,70,1553,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,4,2,training,easy,easy,71,868,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,5,2,training,easy,easy,70,618,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,6,2,training,easy,easy,9,584,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,7,2,training,easy,easy,71,651,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,8,2,training,easy,easy,70,752,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,9,2,training,easy,easy,9,769,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,10,2,training,easy,easy,70,685,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,11,2,training,easy,easy,71,552,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,12,2,training,easy,easy,7,569,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,13,2,training,easy,easy,5,635,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,14,2,training,easy,easy,9,619,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,15,2,training,easy,easy,9,569,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,16,2,training,easy,easy,74,618,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,17,2,training,easy,easy,6,802,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,18,2,training,easy,easy,70,702,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,19,2,training,easy,easy,8,1719,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,20,2,training,easy,easy,5,935,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,21,2,training,easy,easy,74,735,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,22,2,training,easy,easy,9,702,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,23,2,training,easy,easy,74,1017,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,0,3,training,easy,easy,72,1268,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,1,3,training,easy,easy,72,551,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,2,3,training,easy,easy,72,568,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,3,3,training,easy,easy,7,567,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,4,3,training,easy,easy,9,969,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,5,3,training,easy,easy,72,668,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,6,3,training,easy,easy,74,634,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,7,3,training,easy,easy,73,752,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,8,3,training,easy,easy,6,584,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,9,3,training,easy,easy,70,652,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,10,3,training,easy,easy,6,517,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,11,3,training,easy,easy,7,669,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,12,3,training,easy,easy,6,651,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,13,3,training,easy,easy,70,568,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,14,3,training,easy,easy,8,618,['n'],1,right,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
,xotask,15,3,training,easy,easy,70,535,['c'],1,left,none,-99,-99,,,,,,,,,45,18,Vrouw,Rechts,
