starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576149,xotask,0,0,training,average,average,55,8074,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,1,0,training,average,average,54,4456,['n'],0,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,2,0,training,average,average,22,1118,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,3,0,training,average,average,56,885,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,4,0,training,average,average,53,1001,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,5,0,training,average,average,53,901,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,6,0,training,average,average,22,935,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,7,0,training,average,average,22,1702,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,8,0,training,average,average,26,1835,['c'],0,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,9,0,training,average,average,26,902,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,10,0,training,average,average,24,1552,['c'],0,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,11,0,training,average,average,24,2736,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,12,0,training,average,average,22,1855,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,13,0,training,average,average,23,902,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,14,0,training,average,average,26,1003,['c'],0,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,15,0,training,average,average,55,1352,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,16,0,training,average,average,55,1335,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,17,0,training,average,average,56,1119,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,18,0,training,average,average,22,585,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,19,0,training,average,average,23,885,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,20,0,training,average,average,57,1085,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,21,0,training,average,average,56,1036,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,22,0,training,average,average,54,686,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,23,0,training,average,average,56,735,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,0,1,training,average,average,22,835,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,1,1,training,average,average,57,601,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,2,1,training,average,average,25,1219,['c'],0,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,3,1,training,average,average,55,701,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,4,1,training,average,average,23,468,['n'],1,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,5,1,training,average,average,25,1069,['c'],0,right,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
,xotask,6,1,training,average,average,54,918,['c'],1,left,none,-99,-99,,,,,,,,,24,19,Vrouw,Rechts,
