starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572332,dotnumber,0,0,training,average,average,50,61,2004,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,1,0,training,average,average,64,50,1202,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,2,0,training,average,average,50,35,1702,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,3,0,training,average,average,50,62,1819,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,4,0,training,average,average,36,50,1319,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,5,0,training,average,average,50,36,903,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,6,0,training,average,average,35,50,785,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,7,0,training,average,average,50,63,1036,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,8,0,training,average,average,65,50,834,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,9,0,training,average,average,37,50,1085,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,10,0,training,average,average,61,50,719,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,11,0,training,average,average,38,50,685,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,12,0,training,average,average,50,35,1202,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,13,0,training,average,average,50,61,919,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,14,0,training,average,average,38,50,736,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,15,0,training,average,average,50,62,1369,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,16,0,training,average,average,50,35,1453,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,17,0,training,average,average,62,50,1736,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,18,0,training,average,average,50,39,1619,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,19,0,training,average,average,50,65,1036,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,20,0,training,average,average,62,50,1904,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,21,0,training,average,average,62,50,1486,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,22,0,training,average,average,50,36,885,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,23,0,training,average,average,38,50,852,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,0,1,training,average,average,39,50,1120,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,1,1,training,average,average,38,50,1118,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,2,1,training,average,average,61,50,1002,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,3,1,training,average,average,64,50,702,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,4,1,training,average,average,63,50,785,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,5,1,training,average,average,50,62,585,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,6,1,training,average,average,36,50,768,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,7,1,training,average,average,62,50,1385,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,8,1,training,average,average,50,63,751,['n'],1,right,none,-99,-99,,,,,,,,14,18,Man,Rechts,
,dotnumber,9,1,training,average,average,50,39,1035,['c'],1,left,none,-99,-99,,,,,,,,14,18,Man,Rechts,
