starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572367,dotnumber,0,0,training,hard,hard,50,52,2103,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,1,0,training,hard,hard,50,45,1887,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,2,0,training,hard,hard,50,47,1886,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,3,0,training,hard,hard,47,50,1736,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,4,0,training,hard,hard,49,50,785,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,5,0,training,hard,hard,47,50,1052,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,6,0,training,hard,hard,49,50,1186,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,7,0,training,hard,hard,50,51,1086,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,8,0,training,hard,hard,50,53,1018,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,9,0,training,hard,hard,51,50,1819,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,10,0,training,hard,hard,50,51,635,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,11,0,training,hard,hard,53,50,1051,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,12,0,training,hard,hard,50,46,1369,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,13,0,training,hard,hard,51,50,702,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,14,0,training,hard,hard,50,54,618,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,15,0,training,hard,hard,45,50,601,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,16,0,training,hard,hard,52,50,902,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,17,0,training,hard,hard,45,50,701,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,18,0,training,hard,hard,50,45,669,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,19,0,training,hard,hard,50,53,968,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,20,0,training,hard,hard,50,48,1769,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,21,0,training,hard,hard,54,50,1552,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,22,0,training,hard,hard,51,50,786,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,23,0,training,hard,hard,50,45,985,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,0,1,training,hard,hard,50,54,2203,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,1,1,training,hard,hard,52,50,2019,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,2,1,training,hard,hard,50,55,852,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,3,1,training,hard,hard,50,47,935,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,4,1,training,hard,hard,50,49,834,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,5,1,training,hard,hard,47,50,985,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,6,1,training,hard,hard,50,51,586,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,7,1,training,hard,hard,50,48,685,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,8,1,training,hard,hard,45,50,668,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,9,1,training,hard,hard,50,55,768,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,10,1,training,hard,hard,48,50,667,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,11,1,training,hard,hard,50,49,684,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,12,1,training,hard,hard,49,50,568,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,13,1,training,hard,hard,50,55,1153,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,14,1,training,hard,hard,48,50,534,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,15,1,training,hard,hard,54,50,1152,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,16,1,training,hard,hard,50,46,1069,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,17,1,training,hard,hard,49,50,602,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,18,1,training,hard,hard,53,50,3670,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,19,1,training,hard,hard,54,50,752,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,20,1,training,hard,hard,52,50,636,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,21,1,training,hard,hard,50,46,869,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,22,1,training,hard,hard,50,51,635,['n'],1,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,23,1,training,hard,hard,52,50,702,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,0,2,training,hard,hard,55,50,1069,['n'],0,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,1,2,training,hard,hard,50,49,552,['c'],1,left,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
,dotnumber,2,2,training,hard,hard,50,54,869,['c'],0,right,none,-99,-99,,,,,,,,20,18,Vrouw,Rechts,
