starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572387,dotcolour,0,0,training,average,average,33,1870,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,1,0,training,average,average,34,1120,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,2,0,training,average,average,33,1086,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,3,0,training,average,average,30,1218,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,4,0,training,average,average,46,1003,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,5,0,training,average,average,30,1101,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,6,0,training,average,average,46,1320,['n'],0,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,7,0,training,average,average,46,1619,['n'],0,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,8,0,training,average,average,32,986,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,9,0,training,average,average,49,1386,['n'],0,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,10,0,training,average,average,47,852,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,11,0,training,average,average,32,1136,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,12,0,training,average,average,50,902,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,13,0,training,average,average,46,1002,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,14,0,training,average,average,33,1219,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,15,0,training,average,average,32,1836,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,16,0,training,average,average,30,1570,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,17,0,training,average,average,46,1069,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,18,0,training,average,average,34,1369,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,19,0,training,average,average,32,1018,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,20,0,training,average,average,47,785,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,21,0,training,average,average,47,1719,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,22,0,training,average,average,48,1919,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,23,0,training,average,average,47,1803,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,0,1,training,average,average,46,2487,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,1,1,training,average,average,33,935,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,2,1,training,average,average,33,1001,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,3,1,training,average,average,48,818,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,4,1,training,average,average,48,1670,['n'],0,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,5,1,training,average,average,33,1286,['c'],0,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,6,1,training,average,average,31,919,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,7,1,training,average,average,49,1303,['n'],0,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,8,1,training,average,average,31,1068,['c'],0,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,9,1,training,average,average,33,2103,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,10,1,training,average,average,34,1719,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,11,1,training,average,average,30,1186,['n'],1,right,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
,dotcolour,12,1,training,average,average,47,986,['c'],1,left,none,-99,-99,,,,,,,,,19,18,Vrouw,Rechts,
