starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576218,xotask,0,0,training,easy,easy,5,3020,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,1,0,training,easy,easy,9,1402,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,2,0,training,easy,easy,7,969,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,3,0,training,easy,easy,74,902,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,4,0,training,easy,easy,73,1002,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,5,0,training,easy,easy,74,1653,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,6,0,training,easy,easy,6,702,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,7,0,training,easy,easy,7,3372,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,8,0,training,easy,easy,74,769,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,9,0,training,easy,easy,73,702,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,10,0,training,easy,easy,72,735,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,11,0,training,easy,easy,73,802,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,12,0,training,easy,easy,5,753,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,13,0,training,easy,easy,72,819,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,14,0,training,easy,easy,71,751,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,15,0,training,easy,easy,70,719,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,16,0,training,easy,easy,9,585,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,17,0,training,easy,easy,6,651,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,18,0,training,easy,easy,9,652,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,19,0,training,easy,easy,72,835,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,20,0,training,easy,easy,74,636,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,21,0,training,easy,easy,7,535,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,22,0,training,easy,easy,6,701,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,23,0,training,easy,easy,8,886,['c'],0,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,0,1,training,easy,easy,70,1452,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,1,1,training,easy,easy,71,835,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,2,1,training,easy,easy,72,633,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,3,1,training,easy,easy,8,667,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,4,1,training,easy,easy,72,1119,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,5,1,training,easy,easy,74,719,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,6,1,training,easy,easy,8,769,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,7,1,training,easy,easy,71,619,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,8,1,training,easy,easy,71,785,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,9,1,training,easy,easy,5,652,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,10,1,training,easy,easy,8,735,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,11,1,training,easy,easy,72,601,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,12,1,training,easy,easy,72,719,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,13,1,training,easy,easy,6,502,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,14,1,training,easy,easy,74,634,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,15,1,training,easy,easy,5,452,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,16,1,training,easy,easy,74,552,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,17,1,training,easy,easy,9,1270,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,18,1,training,easy,easy,6,635,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,19,1,training,easy,easy,5,585,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,20,1,training,easy,easy,9,1202,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,21,1,training,easy,easy,5,534,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,22,1,training,easy,easy,74,585,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,23,1,training,easy,easy,7,619,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,0,2,training,easy,easy,7,870,['n'],1,right,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,1,2,training,easy,easy,70,752,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
,xotask,2,2,training,easy,easy,72,652,['c'],1,left,none,-99,-99,,,,,,,,,27,18,Vrouw,Rechts,
