starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613565289,dotcolour,0,0,training,average,average,34,2754,['c'],0,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,1,0,training,average,average,46,1069,['n'],0,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,2,0,training,average,average,48,1535,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,3,0,training,average,average,49,802,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,4,0,training,average,average,33,736,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,5,0,training,average,average,48,635,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,6,0,training,average,average,31,819,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,7,0,training,average,average,47,670,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,8,0,training,average,average,49,701,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,9,0,training,average,average,48,1653,['n'],0,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,10,0,training,average,average,34,752,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,11,0,training,average,average,32,652,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,12,0,training,average,average,49,836,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,13,0,training,average,average,50,751,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,14,0,training,average,average,32,702,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,15,0,training,average,average,34,1268,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,16,0,training,average,average,50,885,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,17,0,training,average,average,30,718,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,18,0,training,average,average,34,601,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,19,0,training,average,average,49,1003,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,20,0,training,average,average,32,1168,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,21,0,training,average,average,33,785,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,22,0,training,average,average,46,753,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,23,0,training,average,average,33,635,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,0,1,training,average,average,30,985,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,1,1,training,average,average,50,1369,['n'],0,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,2,1,training,average,average,33,886,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,3,1,training,average,average,33,986,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,4,1,training,average,average,48,835,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,5,1,training,average,average,47,769,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,6,1,training,average,average,49,1869,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,7,1,training,average,average,47,1119,['n'],0,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,8,1,training,average,average,33,1503,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,9,1,training,average,average,33,985,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,10,1,training,average,average,34,1185,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,11,1,training,average,average,46,1570,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,12,1,training,average,average,31,785,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,13,1,training,average,average,31,619,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,14,1,training,average,average,49,634,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,15,1,training,average,average,46,835,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,16,1,training,average,average,46,684,['n'],0,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,17,1,training,average,average,33,818,['n'],1,right,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
,dotcolour,18,1,training,average,average,49,602,['c'],1,left,none,-99,-99,,,,,,,,,1,18,Vrouw,Rechts,
