starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572331,dotcolour,0,0,training,hard,hard,39,3038,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,1,0,training,hard,hard,38,1536,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,2,0,training,hard,hard,39,702,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,3,0,training,hard,hard,42,685,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,4,0,training,hard,hard,42,685,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,5,0,training,hard,hard,35,1352,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,6,0,training,hard,hard,43,1252,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,7,0,training,hard,hard,44,985,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,8,0,training,hard,hard,38,853,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,9,0,training,hard,hard,35,869,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,10,0,training,hard,hard,41,1152,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,11,0,training,hard,hard,42,2070,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,12,0,training,hard,hard,37,902,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,13,0,training,hard,hard,43,1286,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,14,0,training,hard,hard,37,1786,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,15,0,training,hard,hard,38,920,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,16,0,training,hard,hard,43,1119,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,17,0,training,hard,hard,37,737,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,18,0,training,hard,hard,42,1019,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,19,0,training,hard,hard,38,836,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,20,0,training,hard,hard,36,718,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,21,0,training,hard,hard,43,971,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,22,0,training,hard,hard,43,886,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,23,0,training,hard,hard,41,1034,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,0,1,training,hard,hard,38,1170,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,1,1,training,hard,hard,45,1485,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,2,1,training,hard,hard,39,784,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,3,1,training,hard,hard,38,1001,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,4,1,training,hard,hard,38,1002,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,5,1,training,hard,hard,45,734,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,6,1,training,hard,hard,38,701,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,7,1,training,hard,hard,38,785,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,8,1,training,hard,hard,43,719,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,9,1,training,hard,hard,42,784,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,10,1,training,hard,hard,36,619,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,11,1,training,hard,hard,38,736,['c'],0,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,12,1,training,hard,hard,43,802,['n'],0,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,13,1,training,hard,hard,44,668,['c'],1,left,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
,dotcolour,14,1,training,hard,hard,36,853,['n'],1,right,none,-99,-99,,,,,,,,,16,18,Vrouw,Rechts,
