starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613636721,dotnumber,0,0,training,average,average,37,50,2670,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,1,0,training,average,average,50,62,1852,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,2,0,training,average,average,50,35,1436,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,3,0,training,average,average,39,50,1119,['c'],0,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,4,0,training,average,average,50,61,969,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,5,0,training,average,average,50,62,1268,['c'],0,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,6,0,training,average,average,36,50,835,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,7,0,training,average,average,63,50,868,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,8,0,training,average,average,61,50,685,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,9,0,training,average,average,50,38,651,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,10,0,training,average,average,50,37,852,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,11,0,training,average,average,50,65,885,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,12,0,training,average,average,50,36,700,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,13,0,training,average,average,36,50,802,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,14,0,training,average,average,64,50,686,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,15,0,training,average,average,62,50,769,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,16,0,training,average,average,64,50,736,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,17,0,training,average,average,61,50,718,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,18,0,training,average,average,50,63,818,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,19,0,training,average,average,35,50,719,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,20,0,training,average,average,50,63,718,['c'],0,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,21,0,training,average,average,50,37,735,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,22,0,training,average,average,36,50,784,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,23,0,training,average,average,50,39,585,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,0,1,training,average,average,39,50,752,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,1,1,training,average,average,50,64,618,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,2,1,training,average,average,65,50,534,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,3,1,training,average,average,64,50,551,['n'],0,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,4,1,training,average,average,65,50,769,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,5,1,training,average,average,50,38,736,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,6,1,training,average,average,50,36,735,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,7,1,training,average,average,38,50,702,['n'],1,right,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
,dotnumber,8,1,training,average,average,50,39,752,['c'],1,left,none,-99,-99,,,,,,,,32,18,Vrouw,Rechts,
