starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572357,dotcolour,0,0,training,easy,easy,19,1853,['c'],0,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,1,0,training,easy,easy,64,1052,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,2,0,training,easy,easy,17,1252,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,3,0,training,easy,easy,15,868,['c'],0,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,4,0,training,easy,easy,17,1018,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,5,0,training,easy,easy,18,818,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,6,0,training,easy,easy,65,752,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,7,0,training,easy,easy,16,652,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,8,0,training,easy,easy,62,635,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,9,0,training,easy,easy,16,601,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,10,0,training,easy,easy,64,654,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,11,0,training,easy,easy,15,1236,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,12,0,training,easy,easy,18,969,['n'],1,right,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,13,0,training,easy,easy,64,568,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,14,0,training,easy,easy,62,667,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
,dotcolour,15,0,training,easy,easy,62,701,['c'],1,left,none,-99,-99,,,,,,,,,13,18,Vrouw,Rechts,
