starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613576222,dotnumber,0,0,training,easy,easy,29,50,601,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,1,0,training,easy,easy,50,73,502,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,2,0,training,easy,easy,50,72,369,['c'],0,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,3,0,training,easy,easy,73,50,568,['n'],0,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,4,0,training,easy,easy,50,73,451,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,5,0,training,easy,easy,72,50,602,['n'],0,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,6,0,training,easy,easy,50,72,401,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,7,0,training,easy,easy,50,72,451,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,8,0,training,easy,easy,50,26,384,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,9,0,training,easy,easy,75,50,618,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,10,0,training,easy,easy,26,50,418,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,11,0,training,easy,easy,28,50,417,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,12,0,training,easy,easy,25,50,485,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,13,0,training,easy,easy,72,50,351,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,14,0,training,easy,easy,50,25,469,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,15,0,training,easy,easy,50,71,435,['n'],1,right,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,16,0,training,easy,easy,50,29,401,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,17,0,training,easy,easy,74,50,418,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
,dotnumber,18,0,training,easy,easy,50,25,385,['c'],1,left,none,-99,-99,,,,,,,,26,18,Vrouw,Rechts,
