starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1615194145,dotnumber,0,0,training,hard,hard,52,50,585,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,1,0,training,hard,hard,50,49,552,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,2,0,training,hard,hard,50,49,668,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,3,0,training,hard,hard,50,45,568,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,4,0,training,hard,hard,50,45,535,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,5,0,training,hard,hard,52,50,502,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,6,0,training,hard,hard,50,46,518,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,7,0,training,hard,hard,51,50,418,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,8,0,training,hard,hard,50,53,485,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,9,0,training,hard,hard,50,51,552,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,10,0,training,hard,hard,49,50,452,['c'],0,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,11,0,training,hard,hard,47,50,585,['c'],0,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,12,0,training,hard,hard,50,54,435,['c'],0,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,13,0,training,hard,hard,50,51,402,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,14,0,training,hard,hard,51,50,635,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,15,0,training,hard,hard,50,55,451,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,16,0,training,hard,hard,49,50,518,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,17,0,training,hard,hard,52,50,518,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,18,0,training,hard,hard,50,53,434,['c'],0,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,19,0,training,hard,hard,46,50,835,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,20,0,training,hard,hard,48,50,435,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,21,0,training,hard,hard,50,47,401,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,22,0,training,hard,hard,45,50,436,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,23,0,training,hard,hard,51,50,352,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,0,1,training,hard,hard,50,45,902,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,1,1,training,hard,hard,53,50,518,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,2,1,training,hard,hard,50,51,384,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,3,1,training,hard,hard,49,50,401,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,4,1,training,hard,hard,50,48,419,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,5,1,training,hard,hard,55,50,551,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,6,1,training,hard,hard,52,50,852,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,7,1,training,hard,hard,50,49,818,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,8,1,training,hard,hard,55,50,618,['n'],0,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,9,1,training,hard,hard,50,54,668,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,10,1,training,hard,hard,52,50,818,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,11,1,training,hard,hard,47,50,635,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,12,1,training,hard,hard,50,54,651,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,13,1,training,hard,hard,54,50,668,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,14,1,training,hard,hard,45,50,551,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,15,1,training,hard,hard,45,50,434,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,16,1,training,hard,hard,50,55,518,['n'],1,right,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
,dotnumber,17,1,training,hard,hard,50,45,768,['c'],1,left,none,-99,-99,,,,,,,,47,18,Vrouw,Rechts,
