starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613640948,dotnumber,0,0,training,easy,easy,27,50,2019,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,1,0,training,easy,easy,50,29,834,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,2,0,training,easy,easy,50,75,868,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,3,0,training,easy,easy,50,73,1102,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,4,0,training,easy,easy,72,50,1435,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,5,0,training,easy,easy,50,25,685,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,6,0,training,easy,easy,50,29,1703,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,7,0,training,easy,easy,71,50,985,['n'],0,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,8,0,training,easy,easy,50,74,752,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,9,0,training,easy,easy,50,73,802,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,10,0,training,easy,easy,27,50,969,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,11,0,training,easy,easy,71,50,569,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,12,0,training,easy,easy,71,50,602,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,13,0,training,easy,easy,27,50,702,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,14,0,training,easy,easy,50,71,668,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,15,0,training,easy,easy,75,50,667,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,16,0,training,easy,easy,50,25,719,['c'],1,left,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
,dotnumber,17,0,training,easy,easy,28,50,701,['n'],1,right,none,-99,-99,,,,,,,,35,19,Vrouw,Rechts,
