starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614094439,xotask,0,0,training,average,average,56,4055,['n'],0,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,1,0,training,average,average,56,2871,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,2,0,training,average,average,26,1954,['c'],0,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,3,0,training,average,average,25,1369,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,4,0,training,average,average,23,1302,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,5,0,training,average,average,26,1202,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,6,0,training,average,average,55,1119,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,7,0,training,average,average,22,1069,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,8,0,training,average,average,53,1202,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,9,0,training,average,average,56,1152,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,10,0,training,average,average,23,1620,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,11,0,training,average,average,24,1119,['c'],0,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,12,0,training,average,average,25,918,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,13,0,training,average,average,53,868,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,14,0,training,average,average,23,1018,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,15,0,training,average,average,53,802,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,16,0,training,average,average,53,685,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,17,0,training,average,average,54,819,['n'],0,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,18,0,training,average,average,23,801,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,19,0,training,average,average,26,802,['n'],1,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,20,0,training,average,average,23,651,['c'],0,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,21,0,training,average,average,57,801,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,22,0,training,average,average,54,851,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,23,0,training,average,average,53,886,['c'],1,left,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,0,1,training,average,average,25,1285,['c'],0,right,none,-99,-99,,,,,,,,,42,18,Vrouw,Rechts,
