starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614008345,xotask,0,0,training,easy,easy,5,3003,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,1,0,training,easy,easy,7,1636,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,2,0,training,easy,easy,72,1168,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,3,0,training,easy,easy,5,735,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,4,0,training,easy,easy,71,868,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,5,0,training,easy,easy,71,785,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,6,0,training,easy,easy,6,735,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,7,0,training,easy,easy,8,618,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,8,0,training,easy,easy,72,768,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,9,0,training,easy,easy,71,852,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,10,0,training,easy,easy,74,919,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,11,0,training,easy,easy,7,1168,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,12,0,training,easy,easy,70,3955,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,13,0,training,easy,easy,74,702,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,14,0,training,easy,easy,7,535,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,15,0,training,easy,easy,9,551,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,16,0,training,easy,easy,74,601,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,17,0,training,easy,easy,7,735,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,18,0,training,easy,easy,6,634,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,19,0,training,easy,easy,72,701,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,20,0,training,easy,easy,74,602,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,21,0,training,easy,easy,7,784,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,22,0,training,easy,easy,70,1835,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,23,0,training,easy,easy,9,1553,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,0,1,training,easy,easy,73,1035,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,1,1,training,easy,easy,71,635,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,2,1,training,easy,easy,73,651,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,3,1,training,easy,easy,5,585,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,4,1,training,easy,easy,6,518,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,5,1,training,easy,easy,7,918,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,6,1,training,easy,easy,5,568,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,7,1,training,easy,easy,7,601,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,8,1,training,easy,easy,73,718,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,9,1,training,easy,easy,9,651,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,10,1,training,easy,easy,70,652,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,11,1,training,easy,easy,72,602,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,12,1,training,easy,easy,6,567,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,13,1,training,easy,easy,5,585,['n'],1,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,14,1,training,easy,easy,70,2002,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,15,1,training,easy,easy,71,619,['c'],1,left,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
,xotask,16,1,training,easy,easy,8,868,['c'],0,right,none,-99,-99,,,,,,,,,36,19,Vrouw,Rechts,
