starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613568955,dotcolour,0,0,training,hard,hard,35,1503,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,1,0,training,hard,hard,44,786,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,2,0,training,hard,hard,44,718,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,3,0,training,hard,hard,37,1419,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,4,0,training,hard,hard,44,1003,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,5,0,training,hard,hard,38,2136,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,6,0,training,hard,hard,36,1103,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,7,0,training,hard,hard,39,969,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,8,0,training,hard,hard,45,869,['n'],0,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,9,0,training,hard,hard,44,1219,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,10,0,training,hard,hard,41,2203,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,11,0,training,hard,hard,42,718,['n'],0,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,12,0,training,hard,hard,43,1586,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,13,0,training,hard,hard,43,1519,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,14,0,training,hard,hard,38,1653,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,15,0,training,hard,hard,39,1318,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,16,0,training,hard,hard,39,1119,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,17,0,training,hard,hard,39,919,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,18,0,training,hard,hard,37,767,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,19,0,training,hard,hard,36,852,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,20,0,training,hard,hard,35,918,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,21,0,training,hard,hard,44,818,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,22,0,training,hard,hard,41,2087,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,23,0,training,hard,hard,43,1119,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,0,1,training,hard,hard,41,1370,['n'],0,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,1,1,training,hard,hard,39,868,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,2,1,training,hard,hard,38,935,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,3,1,training,hard,hard,41,952,['c'],1,left,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,4,1,training,hard,hard,36,1386,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,5,1,training,hard,hard,35,1135,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,6,1,training,hard,hard,37,768,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,7,1,training,hard,hard,37,619,['n'],1,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
,dotcolour,8,1,training,hard,hard,38,1919,['c'],0,right,none,-99,-99,,,,,,,,,7,18,Vrouw,Rechts,
