starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569461,xotask,0,0,training,hard,hard,42,1919,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,1,0,training,hard,hard,46,1569,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,2,0,training,hard,hard,42,1335,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,3,0,training,hard,hard,34,1451,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,4,0,training,hard,hard,45,868,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,5,0,training,hard,hard,43,885,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,6,0,training,hard,hard,46,1486,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,7,0,training,hard,hard,43,1018,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,8,0,training,hard,hard,46,685,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,9,0,training,hard,hard,44,1303,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,10,0,training,hard,hard,33,702,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,11,0,training,hard,hard,37,1169,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,12,0,training,hard,hard,43,1019,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,13,0,training,hard,hard,35,936,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,14,0,training,hard,hard,36,1002,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,15,0,training,hard,hard,35,2553,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,16,0,training,hard,hard,37,702,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,17,0,training,hard,hard,33,652,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,18,0,training,hard,hard,37,685,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,19,0,training,hard,hard,37,752,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,20,0,training,hard,hard,46,635,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,21,0,training,hard,hard,37,736,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,22,0,training,hard,hard,45,769,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,23,0,training,hard,hard,37,819,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,0,1,training,hard,hard,42,1486,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,1,1,training,hard,hard,45,735,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,2,1,training,hard,hard,33,702,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,3,1,training,hard,hard,43,651,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,4,1,training,hard,hard,36,734,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,5,1,training,hard,hard,35,1068,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,6,1,training,hard,hard,45,786,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,7,1,training,hard,hard,43,868,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,8,1,training,hard,hard,43,751,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,9,1,training,hard,hard,45,718,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,10,1,training,hard,hard,33,702,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,11,1,training,hard,hard,33,786,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,12,1,training,hard,hard,44,819,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,13,1,training,hard,hard,36,902,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,14,1,training,hard,hard,35,834,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,15,1,training,hard,hard,43,1970,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,16,1,training,hard,hard,44,752,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,17,1,training,hard,hard,36,602,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,18,1,training,hard,hard,43,1152,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,19,1,training,hard,hard,35,636,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,20,1,training,hard,hard,34,684,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,21,1,training,hard,hard,36,852,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,22,1,training,hard,hard,42,636,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,23,1,training,hard,hard,33,1119,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,0,2,training,hard,hard,36,1853,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,1,2,training,hard,hard,33,736,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,2,2,training,hard,hard,33,585,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,3,2,training,hard,hard,37,1020,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,4,2,training,hard,hard,46,1119,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,5,2,training,hard,hard,44,702,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,6,2,training,hard,hard,33,602,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,7,2,training,hard,hard,37,1069,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,8,2,training,hard,hard,45,1053,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,9,2,training,hard,hard,46,652,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,10,2,training,hard,hard,42,802,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,11,2,training,hard,hard,33,4222,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,12,2,training,hard,hard,36,802,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,13,2,training,hard,hard,45,569,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,14,2,training,hard,hard,46,1102,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,15,2,training,hard,hard,44,669,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,16,2,training,hard,hard,35,719,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,17,2,training,hard,hard,37,602,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,18,2,training,hard,hard,42,902,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,19,2,training,hard,hard,42,802,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,20,2,training,hard,hard,33,651,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,21,2,training,hard,hard,44,868,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,22,2,training,hard,hard,33,735,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,23,2,training,hard,hard,46,719,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,0,3,training,hard,hard,36,2836,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,1,3,training,hard,hard,42,703,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,2,3,training,hard,hard,42,819,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,3,3,training,hard,hard,46,1151,['n'],0,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,4,3,training,hard,hard,37,668,['n'],1,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,5,3,training,hard,hard,37,868,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,6,3,training,hard,hard,46,868,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,7,3,training,hard,hard,45,635,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,8,3,training,hard,hard,33,736,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,9,3,training,hard,hard,36,735,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,10,3,training,hard,hard,45,652,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,11,3,training,hard,hard,44,1319,['c'],1,left,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,12,3,training,hard,hard,33,701,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
,xotask,13,3,training,hard,hard,34,801,['c'],0,right,none,-99,-99,,,,,,,,,12,21,Man,Rechts,
