starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1615194032,dotcolour,0,0,training,easy,easy,64,1552,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,1,0,training,easy,easy,17,718,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,2,0,training,easy,easy,17,467,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,3,0,training,easy,easy,61,635,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,4,0,training,easy,easy,61,618,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,5,0,training,easy,easy,62,552,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,6,0,training,easy,easy,61,518,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,7,0,training,easy,easy,15,385,['c'],0,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,8,0,training,easy,easy,18,785,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,9,0,training,easy,easy,62,735,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,10,0,training,easy,easy,61,584,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,11,0,training,easy,easy,63,651,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,12,0,training,easy,easy,17,685,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,13,0,training,easy,easy,17,602,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,14,0,training,easy,easy,62,534,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,15,0,training,easy,easy,61,835,['n'],0,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,16,0,training,easy,easy,17,836,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,17,0,training,easy,easy,16,635,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,18,0,training,easy,easy,19,652,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,19,0,training,easy,easy,65,485,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,20,0,training,easy,easy,18,619,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,21,0,training,easy,easy,15,702,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,22,0,training,easy,easy,62,669,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,23,0,training,easy,easy,17,551,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,0,1,training,easy,easy,64,903,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,1,1,training,easy,easy,16,735,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,2,1,training,easy,easy,64,534,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,3,1,training,easy,easy,19,603,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,4,1,training,easy,easy,19,603,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,5,1,training,easy,easy,19,1235,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,6,1,training,easy,easy,17,702,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,7,1,training,easy,easy,15,519,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,8,1,training,easy,easy,62,518,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,9,1,training,easy,easy,17,552,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,10,1,training,easy,easy,61,486,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,11,1,training,easy,easy,61,586,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,12,1,training,easy,easy,63,669,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,13,1,training,easy,easy,63,552,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,14,1,training,easy,easy,64,484,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,15,1,training,easy,easy,62,485,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,16,1,training,easy,easy,18,636,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,17,1,training,easy,easy,18,818,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,18,1,training,easy,easy,64,635,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,19,1,training,easy,easy,17,518,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,20,1,training,easy,easy,19,569,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,21,1,training,easy,easy,64,568,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,22,1,training,easy,easy,63,470,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,23,1,training,easy,easy,18,635,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,0,2,training,easy,easy,62,852,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,1,2,training,easy,easy,19,635,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,2,2,training,easy,easy,62,552,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,3,2,training,easy,easy,19,602,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,4,2,training,easy,easy,19,451,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,5,2,training,easy,easy,61,819,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,6,2,training,easy,easy,18,519,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,7,2,training,easy,easy,16,768,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,8,2,training,easy,easy,19,552,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,9,2,training,easy,easy,18,469,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,10,2,training,easy,easy,15,485,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,11,2,training,easy,easy,15,368,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,12,2,training,easy,easy,64,768,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,13,2,training,easy,easy,61,619,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,14,2,training,easy,easy,63,535,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,15,2,training,easy,easy,15,702,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,16,2,training,easy,easy,63,668,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,17,2,training,easy,easy,15,1018,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,18,2,training,easy,easy,65,935,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,19,2,training,easy,easy,63,536,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,20,2,training,easy,easy,61,368,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,21,2,training,easy,easy,65,401,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,22,2,training,easy,easy,18,635,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,23,2,training,easy,easy,62,552,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,0,3,training,easy,easy,17,485,['n'],1,right,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
,dotcolour,1,3,training,easy,easy,61,469,['c'],1,left,none,-99,-99,,,,,,,,,49,18,Vrouw,Rechts,
