starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613568995,xotask,0,0,training,easy,easy,70,5940,['n'],0,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,1,0,training,easy,easy,72,1402,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,2,0,training,easy,easy,70,1002,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,3,0,training,easy,easy,9,802,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,4,0,training,easy,easy,71,836,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,5,0,training,easy,easy,71,1120,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,6,0,training,easy,easy,8,801,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,7,0,training,easy,easy,7,869,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,8,0,training,easy,easy,7,1002,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,9,0,training,easy,easy,7,952,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,10,0,training,easy,easy,74,1268,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,11,0,training,easy,easy,9,902,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,12,0,training,easy,easy,8,802,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,13,0,training,easy,easy,8,1002,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,14,0,training,easy,easy,70,834,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,15,0,training,easy,easy,5,802,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,16,0,training,easy,easy,73,1018,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,17,0,training,easy,easy,70,1086,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,18,0,training,easy,easy,71,869,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,19,0,training,easy,easy,5,819,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,20,0,training,easy,easy,74,920,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,21,0,training,easy,easy,5,801,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,22,0,training,easy,easy,71,819,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,23,0,training,easy,easy,5,718,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,0,1,training,easy,easy,73,818,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,1,1,training,easy,easy,73,903,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,2,1,training,easy,easy,9,702,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,3,1,training,easy,easy,70,769,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,4,1,training,easy,easy,73,819,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,5,1,training,easy,easy,71,1119,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,6,1,training,easy,easy,6,785,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,7,1,training,easy,easy,71,785,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,8,1,training,easy,easy,9,802,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,9,1,training,easy,easy,9,1018,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,10,1,training,easy,easy,7,768,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,11,1,training,easy,easy,6,836,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,12,1,training,easy,easy,70,801,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,13,1,training,easy,easy,8,752,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,14,1,training,easy,easy,9,834,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,15,1,training,easy,easy,8,835,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,16,1,training,easy,easy,71,786,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,17,1,training,easy,easy,73,1069,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,18,1,training,easy,easy,72,819,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,19,1,training,easy,easy,74,703,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,20,1,training,easy,easy,8,652,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,21,1,training,easy,easy,71,2070,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,22,1,training,easy,easy,7,636,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,23,1,training,easy,easy,6,853,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,0,2,training,easy,easy,9,885,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,1,2,training,easy,easy,7,702,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,2,2,training,easy,easy,9,651,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,3,2,training,easy,easy,9,602,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,4,2,training,easy,easy,71,769,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,5,2,training,easy,easy,7,719,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,6,2,training,easy,easy,71,1019,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,7,2,training,easy,easy,71,685,['c'],1,left,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,8,2,training,easy,easy,7,652,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
,xotask,9,2,training,easy,easy,5,718,['n'],1,right,none,-99,-99,,,,,,,,,9,18,Vrouw,Rechts,
