starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613640562,xotask,0,0,training,average,average,22,6657,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,1,0,training,average,average,53,2971,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,2,0,training,average,average,54,1118,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,3,0,training,average,average,53,1236,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,4,0,training,average,average,55,1085,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,5,0,training,average,average,26,852,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,6,0,training,average,average,23,1385,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,7,0,training,average,average,54,1902,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,8,0,training,average,average,55,1202,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,9,0,training,average,average,25,803,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,10,0,training,average,average,54,819,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,11,0,training,average,average,55,835,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,12,0,training,average,average,22,852,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,13,0,training,average,average,22,869,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,14,0,training,average,average,22,1235,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,15,0,training,average,average,57,836,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,16,0,training,average,average,23,803,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,17,0,training,average,average,54,818,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,18,0,training,average,average,23,785,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,19,0,training,average,average,55,1470,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,20,0,training,average,average,54,736,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,21,0,training,average,average,25,1019,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,22,0,training,average,average,24,1018,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,23,0,training,average,average,24,1236,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,0,1,training,average,average,56,1035,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,1,1,training,average,average,22,868,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,2,1,training,average,average,53,836,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,3,1,training,average,average,56,869,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,4,1,training,average,average,57,802,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,5,1,training,average,average,25,1018,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,6,1,training,average,average,23,868,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,7,1,training,average,average,23,935,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,8,1,training,average,average,25,986,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,9,1,training,average,average,25,886,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,10,1,training,average,average,22,869,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,11,1,training,average,average,53,868,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,12,1,training,average,average,54,1336,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,13,1,training,average,average,24,768,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,14,1,training,average,average,56,902,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,15,1,training,average,average,26,719,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,16,1,training,average,average,55,635,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,17,1,training,average,average,26,852,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,18,1,training,average,average,53,785,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,19,1,training,average,average,24,802,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,20,1,training,average,average,55,952,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,21,1,training,average,average,53,869,['n'],0,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,22,1,training,average,average,55,819,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,23,1,training,average,average,22,885,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,0,2,training,average,average,25,1369,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,1,2,training,average,average,55,735,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,2,2,training,average,average,23,752,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,3,2,training,average,average,25,719,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,4,2,training,average,average,23,935,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,5,2,training,average,average,23,918,['c'],0,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,6,2,training,average,average,56,586,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,7,2,training,average,average,24,685,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,8,2,training,average,average,54,652,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,9,2,training,average,average,24,636,['n'],1,right,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
,xotask,10,2,training,average,average,54,685,['c'],1,left,none,-99,-99,,,,,,,,,33,19,Vrouw,Rechts,
