starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614008345,dotcolour,0,0,training,average,average,31,1936,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,1,0,training,average,average,33,1570,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,2,0,training,average,average,48,686,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,3,0,training,average,average,30,669,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,4,0,training,average,average,32,836,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,5,0,training,average,average,30,1018,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,6,0,training,average,average,32,785,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,7,0,training,average,average,50,669,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,8,0,training,average,average,48,868,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,9,0,training,average,average,46,1386,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,10,0,training,average,average,32,619,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,11,0,training,average,average,48,702,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,12,0,training,average,average,33,768,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,13,0,training,average,average,34,835,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,14,0,training,average,average,50,602,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,15,0,training,average,average,47,1019,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,16,0,training,average,average,33,517,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,17,0,training,average,average,31,1602,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,18,0,training,average,average,50,502,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,19,0,training,average,average,49,535,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,20,0,training,average,average,33,452,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,21,0,training,average,average,50,486,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,22,0,training,average,average,49,634,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,23,0,training,average,average,48,634,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,0,1,training,average,average,49,1152,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,1,1,training,average,average,33,701,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,2,1,training,average,average,49,801,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,3,1,training,average,average,49,702,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,4,1,training,average,average,34,1887,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,5,1,training,average,average,50,635,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,6,1,training,average,average,32,518,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,7,1,training,average,average,48,769,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,8,1,training,average,average,48,752,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,9,1,training,average,average,49,618,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,10,1,training,average,average,34,886,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,11,1,training,average,average,34,685,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,12,1,training,average,average,33,969,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,13,1,training,average,average,46,669,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,14,1,training,average,average,50,718,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,15,1,training,average,average,30,602,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,16,1,training,average,average,34,585,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,17,1,training,average,average,34,618,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,18,1,training,average,average,34,569,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,19,1,training,average,average,47,567,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,20,1,training,average,average,31,534,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,21,1,training,average,average,46,601,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,22,1,training,average,average,48,585,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,23,1,training,average,average,33,435,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,0,2,training,average,average,49,902,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,1,2,training,average,average,46,651,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,2,2,training,average,average,47,469,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,3,2,training,average,average,32,618,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,4,2,training,average,average,32,736,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,5,2,training,average,average,47,686,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,6,2,training,average,average,30,602,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,7,2,training,average,average,48,885,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,8,2,training,average,average,32,819,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,9,2,training,average,average,46,1019,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,10,2,training,average,average,31,535,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,11,2,training,average,average,47,769,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,12,2,training,average,average,33,1352,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,13,2,training,average,average,34,634,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,14,2,training,average,average,48,635,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,15,2,training,average,average,34,619,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,16,2,training,average,average,30,569,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,17,2,training,average,average,49,585,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,18,2,training,average,average,33,402,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,19,2,training,average,average,47,569,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,20,2,training,average,average,34,368,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,21,2,training,average,average,30,284,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,22,2,training,average,average,48,701,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,23,2,training,average,average,48,517,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,0,3,training,average,average,49,651,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,1,3,training,average,average,33,569,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,2,3,training,average,average,49,418,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,3,3,training,average,average,34,700,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,4,3,training,average,average,30,535,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,5,3,training,average,average,31,551,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,6,3,training,average,average,30,501,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,7,3,training,average,average,46,569,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,8,3,training,average,average,50,569,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,9,3,training,average,average,30,568,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,10,3,training,average,average,30,737,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,11,3,training,average,average,50,619,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,12,3,training,average,average,34,435,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,13,3,training,average,average,32,552,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,14,3,training,average,average,48,884,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,15,3,training,average,average,33,518,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,16,3,training,average,average,30,568,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,17,3,training,average,average,50,534,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,18,3,training,average,average,48,668,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,19,3,training,average,average,48,685,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,20,3,training,average,average,48,568,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,21,3,training,average,average,31,451,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,22,3,training,average,average,49,568,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,23,3,training,average,average,48,585,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,0,4,training,average,average,32,785,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,1,4,training,average,average,33,634,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,2,4,training,average,average,46,552,['n'],0,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,3,4,training,average,average,50,985,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,4,4,training,average,average,34,551,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,5,4,training,average,average,30,435,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,6,4,training,average,average,48,601,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,7,4,training,average,average,49,819,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,8,4,training,average,average,46,618,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,9,4,training,average,average,31,769,['c'],0,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,10,4,training,average,average,33,701,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,11,4,training,average,average,32,802,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,12,4,training,average,average,31,618,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,13,4,training,average,average,50,519,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,14,4,training,average,average,32,686,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,15,4,training,average,average,31,752,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,16,4,training,average,average,47,652,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,17,4,training,average,average,47,502,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,18,4,training,average,average,48,435,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,19,4,training,average,average,49,401,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,20,4,training,average,average,48,501,['c'],1,left,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
,dotcolour,21,4,training,average,average,34,635,['n'],1,right,none,-99,-99,,,,,,,,,37,18,Vrouw,Links,
