starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614008369,dotnumber,0,0,training,hard,hard,50,48,2069,['n'],0,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,1,0,training,hard,hard,55,50,1285,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,2,0,training,hard,hard,50,55,801,['c'],0,right,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,3,0,training,hard,hard,52,50,1786,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,4,0,training,hard,hard,50,47,918,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,5,0,training,hard,hard,50,47,1485,['n'],0,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,6,0,training,hard,hard,50,45,1452,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,7,0,training,hard,hard,46,50,2170,['n'],1,right,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,8,0,training,hard,hard,55,50,1018,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,9,0,training,hard,hard,50,49,1819,['c'],1,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,10,0,training,hard,hard,45,50,768,['n'],1,right,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,11,0,training,hard,hard,45,50,2019,['n'],1,right,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,12,0,training,hard,hard,50,53,985,['c'],0,right,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
,dotnumber,13,0,training,hard,hard,52,50,1585,['n'],0,left,none,-99,-99,,,,,,,,38,18,Vrouw,Rechts,
