starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614008345,dotcolour,0,0,training,easy,easy,15,3055,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,1,0,training,easy,easy,19,718,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,2,0,training,easy,easy,64,502,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,3,0,training,easy,easy,18,519,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,4,0,training,easy,easy,17,535,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,5,0,training,easy,easy,15,452,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,6,0,training,easy,easy,64,551,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,7,0,training,easy,easy,62,618,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,8,0,training,easy,easy,65,502,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,9,0,training,easy,easy,63,685,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,10,0,training,easy,easy,16,469,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,11,0,training,easy,easy,63,1068,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,12,0,training,easy,easy,65,736,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,13,0,training,easy,easy,64,652,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,14,0,training,easy,easy,63,568,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,15,0,training,easy,easy,18,651,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,16,0,training,easy,easy,64,652,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,17,0,training,easy,easy,18,652,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,18,0,training,easy,easy,17,685,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,19,0,training,easy,easy,15,501,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,20,0,training,easy,easy,15,518,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,21,0,training,easy,easy,17,618,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,22,0,training,easy,easy,65,569,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,23,0,training,easy,easy,65,685,['c'],1,left,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,0,1,training,easy,easy,16,769,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,1,1,training,easy,easy,18,518,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
,dotcolour,2,1,training,easy,easy,16,519,['n'],1,right,none,-99,-99,,,,,,,,,40,18,Vrouw,Rechts,
