starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572457,dotnumber,0,0,training,easy,easy,25,50,1737,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,1,0,training,easy,easy,27,50,952,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,2,0,training,easy,easy,50,73,669,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,3,0,training,easy,easy,74,50,584,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,4,0,training,easy,easy,50,27,602,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,5,0,training,easy,easy,75,50,568,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,6,0,training,easy,easy,50,28,651,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,7,0,training,easy,easy,50,74,718,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,8,0,training,easy,easy,50,74,985,['c'],0,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,9,0,training,easy,easy,73,50,535,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,10,0,training,easy,easy,71,50,551,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,11,0,training,easy,easy,50,25,535,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,12,0,training,easy,easy,50,28,569,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,13,0,training,easy,easy,72,50,569,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,14,0,training,easy,easy,73,50,885,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,15,0,training,easy,easy,26,50,535,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,16,0,training,easy,easy,28,50,419,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,17,0,training,easy,easy,50,71,702,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,18,0,training,easy,easy,50,74,418,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,19,0,training,easy,easy,50,25,385,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,20,0,training,easy,easy,25,50,485,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,21,0,training,easy,easy,50,25,384,['c'],1,left,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,22,0,training,easy,easy,28,50,451,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,23,0,training,easy,easy,50,72,352,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,0,1,training,easy,easy,50,73,519,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,1,1,training,easy,easy,50,74,852,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
,dotnumber,2,1,training,easy,easy,28,50,519,['n'],1,right,none,-99,-99,,,,,,,,17,18,Vrouw,Links,
