starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569018,dotnumber,0,0,training,average,average,50,65,1202,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,1,0,training,average,average,62,50,801,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,2,0,training,average,average,50,35,1219,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,3,0,training,average,average,50,64,669,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,4,0,training,average,average,36,50,601,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,5,0,training,average,average,50,35,619,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,6,0,training,average,average,50,36,651,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,7,0,training,average,average,64,50,635,['n'],0,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,8,0,training,average,average,37,50,635,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,9,0,training,average,average,63,50,868,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,10,0,training,average,average,50,65,635,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,11,0,training,average,average,37,50,568,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,12,0,training,average,average,50,38,1019,['n'],0,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,13,0,training,average,average,50,64,818,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,14,0,training,average,average,63,50,886,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,15,0,training,average,average,50,65,802,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,16,0,training,average,average,65,50,601,['n'],0,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,17,0,training,average,average,50,63,568,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,18,0,training,average,average,63,50,635,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,19,0,training,average,average,50,36,1136,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,20,0,training,average,average,36,50,885,['c'],0,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,21,0,training,average,average,35,50,552,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,22,0,training,average,average,39,50,584,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,23,0,training,average,average,50,38,586,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,0,1,training,average,average,65,50,686,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,1,1,training,average,average,35,50,551,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,2,1,training,average,average,50,37,1052,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,3,1,training,average,average,38,50,535,['c'],0,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,4,1,training,average,average,50,63,652,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,5,1,training,average,average,50,63,635,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,6,1,training,average,average,50,63,735,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,7,1,training,average,average,50,37,669,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,8,1,training,average,average,39,50,752,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,9,1,training,average,average,38,50,851,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,10,1,training,average,average,64,50,602,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,11,1,training,average,average,50,38,484,['n'],0,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,12,1,training,average,average,50,36,535,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,13,1,training,average,average,50,64,736,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,14,1,training,average,average,64,50,568,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,15,1,training,average,average,63,50,685,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,16,1,training,average,average,64,50,734,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,17,1,training,average,average,50,35,669,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,18,1,training,average,average,61,50,902,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,19,1,training,average,average,39,50,685,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,20,1,training,average,average,36,50,635,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,21,1,training,average,average,50,65,585,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,22,1,training,average,average,50,39,602,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,23,1,training,average,average,50,62,650,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,0,2,training,average,average,50,63,602,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,1,2,training,average,average,63,50,602,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,2,2,training,average,average,39,50,534,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,3,2,training,average,average,62,50,634,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,4,2,training,average,average,50,62,602,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,5,2,training,average,average,50,62,919,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,6,2,training,average,average,64,50,534,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,7,2,training,average,average,62,50,619,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,8,2,training,average,average,50,39,735,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,9,2,training,average,average,50,65,703,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,10,2,training,average,average,50,35,468,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,11,2,training,average,average,50,37,551,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,12,2,training,average,average,50,36,469,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,13,2,training,average,average,50,36,535,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,14,2,training,average,average,65,50,602,['c'],1,left,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,15,2,training,average,average,38,50,601,['n'],1,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,16,2,training,average,average,37,50,534,['c'],0,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
,dotnumber,17,2,training,average,average,50,61,784,['c'],0,right,none,-99,-99,,,,,,,,5,19,Vrouw,Rechts,
