starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613572478,xotask,0,0,training,easy,easy,72,1236,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,1,0,training,easy,easy,74,1453,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,2,0,training,easy,easy,70,919,['n'],0,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,3,0,training,easy,easy,5,1136,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,4,0,training,easy,easy,71,1503,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,5,0,training,easy,easy,7,768,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,6,0,training,easy,easy,9,1085,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,7,0,training,easy,easy,70,752,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,8,0,training,easy,easy,5,985,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,9,0,training,easy,easy,8,1169,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,10,0,training,easy,easy,73,852,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,11,0,training,easy,easy,72,735,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,12,0,training,easy,easy,71,818,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,13,0,training,easy,easy,5,818,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,14,0,training,easy,easy,7,1202,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,15,0,training,easy,easy,74,853,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,16,0,training,easy,easy,70,1002,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,17,0,training,easy,easy,6,836,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,18,0,training,easy,easy,7,769,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,19,0,training,easy,easy,7,818,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,20,0,training,easy,easy,9,1353,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,21,0,training,easy,easy,7,1102,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,22,0,training,easy,easy,73,768,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,23,0,training,easy,easy,70,835,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,0,1,training,easy,easy,72,1135,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,1,1,training,easy,easy,6,1119,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,2,1,training,easy,easy,73,885,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,3,1,training,easy,easy,73,836,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,4,1,training,easy,easy,5,869,['n'],1,right,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,5,1,training,easy,easy,72,835,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
,xotask,6,1,training,easy,easy,70,1002,['c'],1,left,none,-99,-99,,,,,,,,,18,20,Vrouw,Rechts,
