starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1613569266,dotnumber,0,0,training,hard,hard,45,50,2221,['n'],1,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,1,0,training,hard,hard,50,47,1820,['n'],0,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,2,0,training,hard,hard,50,51,2620,['n'],1,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,3,0,training,hard,hard,50,51,1536,['c'],0,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,4,0,training,hard,hard,51,50,1470,['c'],1,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,5,0,training,hard,hard,54,50,1820,['c'],1,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,6,0,training,hard,hard,49,50,1286,['c'],0,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,7,0,training,hard,hard,52,50,1052,['n'],0,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,8,0,training,hard,hard,49,50,1052,['n'],1,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,9,0,training,hard,hard,50,45,1686,['n'],0,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,10,0,training,hard,hard,49,50,1719,['n'],1,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,11,0,training,hard,hard,46,50,1120,['c'],0,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,12,0,training,hard,hard,51,50,1085,['n'],0,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,13,0,training,hard,hard,50,49,834,['n'],0,left,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
,dotnumber,14,0,training,hard,hard,50,51,1169,['n'],1,right,none,-99,-99,,,,,,,,11,21,Vrouw,Rechts,
