starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1615194031,dotnumber,0,0,training,average,average,62,50,1385,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,1,0,training,average,average,50,61,585,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,2,0,training,average,average,50,38,734,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,3,0,training,average,average,38,50,651,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,4,0,training,average,average,64,50,601,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,5,0,training,average,average,50,36,402,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,6,0,training,average,average,39,50,251,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,7,0,training,average,average,50,36,251,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,8,0,training,average,average,50,64,284,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,9,0,training,average,average,37,50,267,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,10,0,training,average,average,65,50,250,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,11,0,training,average,average,50,37,173,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,12,0,training,average,average,63,50,176,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,13,0,training,average,average,50,63,335,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,14,0,training,average,average,65,50,368,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,15,0,training,average,average,50,62,333,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,16,0,training,average,average,50,35,27,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,17,0,training,average,average,36,50,79,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,18,0,training,average,average,50,65,284,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,19,0,training,average,average,50,36,251,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,20,0,training,average,average,39,50,334,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,21,0,training,average,average,63,50,194,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,22,0,training,average,average,37,50,351,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,23,0,training,average,average,50,61,251,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,0,1,training,average,average,38,50,368,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,1,1,training,average,average,37,50,1236,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,2,1,training,average,average,61,50,168,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,3,1,training,average,average,50,63,233,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,4,1,training,average,average,36,50,402,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,5,1,training,average,average,64,50,384,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,6,1,training,average,average,50,39,350,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,7,1,training,average,average,50,37,235,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,8,1,training,average,average,64,50,434,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,9,1,training,average,average,50,36,301,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,10,1,training,average,average,50,63,284,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,11,1,training,average,average,37,50,300,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,12,1,training,average,average,62,50,300,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,13,1,training,average,average,36,50,251,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,14,1,training,average,average,50,64,269,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,15,1,training,average,average,39,50,283,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,16,1,training,average,average,50,62,435,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,17,1,training,average,average,50,39,368,['n'],0,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,18,1,training,average,average,65,50,452,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,19,1,training,average,average,61,50,685,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,20,1,training,average,average,50,65,518,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,21,1,training,average,average,50,36,384,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,22,1,training,average,average,50,39,484,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,23,1,training,average,average,50,64,534,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,0,2,training,average,average,50,63,435,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,1,2,training,average,average,64,50,234,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,2,2,training,average,average,50,65,434,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,3,2,training,average,average,38,50,301,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,4,2,training,average,average,62,50,401,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,5,2,training,average,average,39,50,434,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,6,2,training,average,average,50,38,501,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,7,2,training,average,average,50,61,534,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,8,2,training,average,average,50,39,485,['c'],1,left,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,9,2,training,average,average,35,50,468,['n'],1,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,10,2,training,average,average,50,62,534,['c'],0,right,none,-99,-99,,,,,,,,50,18,Vrouw,Rechts,
