starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
1614094479,dotnumber,0,0,training,easy,easy,29,50,851,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,1,0,training,easy,easy,25,50,651,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,2,0,training,easy,easy,50,29,551,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,3,0,training,easy,easy,75,50,969,['n'],0,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,4,0,training,easy,easy,73,50,585,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,5,0,training,easy,easy,50,29,702,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,6,0,training,easy,easy,50,25,751,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,7,0,training,easy,easy,72,50,502,['n'],0,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,8,0,training,easy,easy,50,72,586,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,9,0,training,easy,easy,73,50,518,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,10,0,training,easy,easy,26,50,768,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,11,0,training,easy,easy,25,50,718,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,12,0,training,easy,easy,50,74,718,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,13,0,training,easy,easy,50,74,702,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,14,0,training,easy,easy,28,50,785,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,15,0,training,easy,easy,50,29,818,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,16,0,training,easy,easy,29,50,501,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,17,0,training,easy,easy,50,25,585,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,18,0,training,easy,easy,72,50,585,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,19,0,training,easy,easy,50,72,834,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,20,0,training,easy,easy,50,29,601,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,21,0,training,easy,easy,50,71,685,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,22,0,training,easy,easy,73,50,684,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,23,0,training,easy,easy,50,72,585,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,0,1,training,easy,easy,50,26,669,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,1,1,training,easy,easy,26,50,485,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,2,1,training,easy,easy,71,50,384,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,3,1,training,easy,easy,50,75,469,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,4,1,training,easy,easy,26,50,485,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,5,1,training,easy,easy,50,26,452,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,6,1,training,easy,easy,50,28,484,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,7,1,training,easy,easy,71,50,518,['n'],0,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,8,1,training,easy,easy,71,50,451,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,9,1,training,easy,easy,50,74,452,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,10,1,training,easy,easy,50,72,552,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,11,1,training,easy,easy,25,50,501,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,12,1,training,easy,easy,50,73,519,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,13,1,training,easy,easy,50,71,452,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,14,1,training,easy,easy,50,26,434,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,15,1,training,easy,easy,50,29,485,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,16,1,training,easy,easy,74,50,501,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,17,1,training,easy,easy,27,50,485,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,18,1,training,easy,easy,26,50,601,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,19,1,training,easy,easy,72,50,501,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,20,1,training,easy,easy,75,50,651,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,21,1,training,easy,easy,50,75,452,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,22,1,training,easy,easy,50,28,501,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,23,1,training,easy,easy,28,50,668,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,0,2,training,easy,easy,28,50,518,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,1,2,training,easy,easy,50,74,385,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,2,2,training,easy,easy,50,29,452,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,3,2,training,easy,easy,50,26,401,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,4,2,training,easy,easy,74,50,435,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,5,2,training,easy,easy,50,74,502,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,6,2,training,easy,easy,50,27,502,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,7,2,training,easy,easy,73,50,518,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,8,2,training,easy,easy,71,50,501,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,9,2,training,easy,easy,50,73,501,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,10,2,training,easy,easy,74,50,418,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,11,2,training,easy,easy,73,50,468,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,12,2,training,easy,easy,28,50,436,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,13,2,training,easy,easy,50,74,401,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,14,2,training,easy,easy,50,27,418,['c'],1,left,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,15,2,training,easy,easy,50,73,353,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
,dotnumber,16,2,training,easy,easy,26,50,434,['n'],1,right,none,-99,-99,,,,,,,,44,20,Vrouw,Rechts,
